frei	freier	freisten
selbstmörderisch	selbstmörderischer	selbstmörderischsten
flüssig	flüssiger	flüssigsten
solomonisch	solomonischer	solomonischsten
solomonisch	solomonischer	solomonischsten
halbherzig	halbherziger	halbherzigsten
halbherzig	halbherziger	halbherzigsten
sparsam	sparsamer	sparsamsten
unternehmerisch	unternehmerischer	unternehmerischsten
unternehmerisch	unternehmerischer	unternehmerischsten
respektlos	respektloser	respektlosesten
charakteriologisch	charakteriologischer	charakteriologischsten
charakteriologisch	charakteriologischer	charakteriologischsten
unvermeidlich	unvermeidlicher	unvermeidlichsten
anständig	anständiger	anständigsten
hektisch	hektischer	hektischsten
desaströs	desaströser	desaströsesten
verhängnisvoll	verhängnisvoller	verhängnisvollsten
kompliziert	komplizierter	kompliziertesten
verführerisch	verführerischer	verführerischsten
strahlend	strahlender	strahlendsten
delikat	delikater	delikatesten
diskret	diskreter	diskretesten
galant	galanter	galantesten
klassisch	klassischer	klassischsten
vergänglich	vergänglicher	vergänglichsten
verständlich	verständlicher	verständlichsten
spontan	spontaner	spontansten
krebserregend	krebserregender	krebserregendsten
krebserregend	krebserregender	krebserregendsten
nussig	nussiger	nussigsten
seifig	seifiger	seifigsten
hochwertig	hochwertiger	hochwertigsten
blutig	blutiger	blutigsten
wählerisch	wählerischer	wählerischsten
überzeugt	überzeugter	überzeugtesten
defekt	defekter	defektesten
fehlerhaft	fehlerhafter	fehlerhaftesten
eklatant	eklatanter	eklatantesten
blasiert	blasierter	blasiertesten
nörglerisch	nörglerischer	nörglerischsten
nörglerisch	nörglerischer	nörglerischsten
professionell	professioneller	professionellsten
mondän	mondäner	mondänsten
undicht	undichter	undichtesten
undicht	undichter	undichtesten
renaissancistisch	renaissancistischer	renaissancistischesten
gnadenlos	gnadenloser	gnadenlosesten
sonderbar	sonderbarer	sonderbarsten
sonderlich	sonderlicher	sonderlichsten
sonderlich	sonderlicher	sonderlichsten
optimistisch	optimistischer	optimistischsten
pessimistisch	pessimistischer	pessimistischsten
polemisch	polemischer	polemischsten
schlicht	schlichter	schlichtesten
problematisch	problematischer	problematischsten
bequem	bequemer	bequemsten
komfortabel	komfortabler	komfortabelsten
illusorisch	illusorischer	illusorischsten
illusorisch	illusorischer	illusorischsten
illusionär	illusionärer	illusionärsten
beeindruckend	beeindruckender	beeindruckendsten
eindrucksvoll	eindrucksvoller	eindrucksvollsten
imposant	imposanter	imposantesten
majestätisch	majestätischer	majestätischsten
majestätisch	majestätischer	majestätischsten
erfolgreich	erfolgreicher	erfolgreichsten
abwechslungsreich	abwechslungsreicher	abwechslungsreichsten
defizitär	defizitärer	defizitärsten
intuitiv	intuitiver	intuitivsten
stechend	stechender	stechendsten
vulgär	vulgärer	vulgärsten
böig	böiger	böigsten
böig	böiger	böigsten
amüsant	amüsanter	amüsantesten
anekdotisch	anekdotischer	anekdotischsten
seriös	seriöser	seriösesten
umkämpft	umkämpfter	umkämpftesten
umkämpft	umkämpfter	umkämpftesten
eckig	eckiger	eckigsten
nihilistisch	nihilistischer	nihilistischsten
nihilistisch	nihilistischer	nihilistischsten
aerodynamisch	aerodynamischer	aerodynamischsten
literarisch	literarischer	literarischsten
unerklärlich	unerklärlicher	unerklärlichsten
unerklärlich	unerklärlicher	unerklärlichsten
bombastisch	bombastischer	bombastischsten
tendenziös	tendenziöser	tendenziösesten
horrend	horrender	horrendesten
imperialistisch	imperialistischer	imperialistischsten
verwandt	verwandter	verwandtesten
kontraproduktiv	kontraproduktiver	kontraproduktivsten
sympathisch	sympathischer	sympathischsten
asymmetrisch	asymmetrischer	asymmetrischsten
symmetrisch	symmetrischer	symmetrischsten
charakteristisch	charakteristischer	charakteristischsten
akademisch	akademischer	akademischsten
unglaublich	unglaublicher	unglaublichsten
materiell	materieller	materiellsten
aromatisch	aromatischer	aromatischsten
farbig	farbiger	farbigsten
eisig	eisiger	eisigsten
feurig	feuriger	feurigsten
rauchig	rauchiger	rauchigsten
rauchig	rauchiger	rauchigsten
